"flujo_codigo";"flujo_nombre";"periodo_anio";"periodo_mes";"pais_codigo";"pais_nombre";"taric";"euros";"kilos";
"E";"Exportación";"2023";"";"000";"Total País";"Total Taric";"287585511884,76";"133210386474,30";
"E";"Exportación";"2022";"";"000";"Total País";"Total Taric";"389208923941,26";"184316367412,08";
"E";"Exportación";"2021";"";"000";"Total País";"Total Taric";"314858545734,85";"182761053246,71";
"E";"Exportación";"2020";"";"000";"Total País";"Total Taric";"263628262159,03";"174676921250,61";
"E";"Exportación";"2019";"";"000";"Total País";"Total Taric";"290892807372,30";"184648276518,36";
"E";"Exportación";"2018";"";"000";"Total País";"Total Taric";"285260541296,85";"182949201310,90";
"E";"Exportación";"2017";"";"000";"Total País";"Total Taric";"276142906542,52";"180881948888,39";
"E";"Exportación";"2016";"";"000";"Total País";"Total Taric";"256393380079,26";"170971561725,57";
"E";"Exportación";"2015";"";"000";"Total País";"Total Taric";"249794415650,96";"168515385101,56";
"E";"Exportación";"2014";"";"000";"Total País";"Total Taric";"240581830223,43";"167643686968,80";
"E";"Exportación";"2013";"";"000";"Total País";"Total Taric";"235814069043,58";"155542322335,84";
"E";"Exportación";"2012";"";"000";"Total País";"Total Taric";"226114593974,27";"149679903340,40";
"E";"Exportación";"2011";"";"000";"Total País";"Total Taric";"215230370709,55";"137840345749,26";
"E";"Exportación";"2010";"";"000";"Total País";"Total Taric";"186780070554,01";"128208458398,99";
"E";"Exportación";"2009";"";"000";"Total País";"Total Taric";"159889550154,5";"117021855305,42";
"E";"Exportación";"2008";"";"000";"Total País";"Total Taric";"189227851407,26";"130195588101,53";
"E";"Exportación";"2007";"";"000";"Total País";"Total Taric";"185023217517,84";"106455043782,81";
"E";"Exportación";"2006";"";"000";"Total País";"Total Taric";"170438626905,2";"101604939933,22";
"E";"Exportación";"2005";"";"000";"Total País";"Total Taric";"155004733950,63";"108093550951,05";
"E";"Exportación";"2004";"";"000";"Total País";"Total Taric";"146924722492,68";"108553755476,08";
"E";"Exportación";"2003";"";"000";"Total País";"Total Taric";"138119046687,97";"103239738360,37";
"E";"Exportación";"2002";"";"000";"Total País";"Total Taric";"133267677736,83";"96171452401,61";
"E";"Exportación";"2001";"";"000";"Total País";"Total Taric";"129771012807,74";"94285185973,48";
"E";"Exportación";"2000";"";"000";"Total País";"Total Taric";"124177336031,61";"94450935571,92";
"E";"Exportación";"1999";"";"000";"Total País";"Total Taric";"104788627154,09";"89034710578,47";
"E";"Exportación";"1998";"";"000";"Total País";"Total Taric";"99849457802,45";"92173148608,61";
"E";"Exportación";"1997";"";"000";"Total País";"Total Taric";"93419368360,08";"86413623725,43";
"E";"Exportación";"1996";"";"000";"Total País";"Total Taric";"78212098677,18";"80908574559,50";
"E";"Exportación";"1995";"";"000";"Total País";"Total Taric";"69962210889,13";"72613316497,97";
"I";"Importación";"2023";"";"000";"Total País";"Total Taric";"317181934236,47";"185082032087,78";
"I";"Importación";"2022";"";"000";"Total País";"Total Taric";"457321162882,87";"260832764440,04";
"I";"Importación";"2021";"";"000";"Total País";"Total Taric";"346283414295,44";"245454858087,23";
"I";"Importación";"2020";"";"000";"Total País";"Total Taric";"276925148710,07";"227664304513,32";
"I";"Importación";"2019";"";"000";"Total País";"Total Taric";"322436892016,81";"259324914695,13";
"I";"Importación";"2018";"";"000";"Total País";"Total Taric";"319647329614,61";"264803996892,63";
"I";"Importación";"2017";"";"000";"Total País";"Total Taric";"302431158458,12";"264854720478,67";
"I";"Importación";"2016";"";"000";"Total País";"Total Taric";"273778599396,34";"244136014923,88";
"I";"Importación";"2015";"";"000";"Total País";"Total Taric";"274772330216,84";"251334696303,64";
"I";"Importación";"2014";"";"000";"Total País";"Total Taric";"265556606871,96";"243268567756,06";
"I";"Importación";"2013";"";"000";"Total País";"Total Taric";"252346775229,48";"225968589029,50";
"I";"Importación";"2012";"";"000";"Total País";"Total Taric";"257945631014,09";"234530394617,14";
"I";"Importación";"2011";"";"000";"Total País";"Total Taric";"263140740648,54";"233888370224,40";
"I";"Importación";"2010";"";"000";"Total País";"Total Taric";"240055850103,01";"236982529960,35";
"I";"Importación";"2009";"";"000";"Total País";"Total Taric";"206116174511,43";"235948137138,62";
"I";"Importación";"2008";"";"000";"Total País";"Total Taric";"283387764359,93";"287985640159,98";
"I";"Importación";"2007";"";"000";"Total País";"Total Taric";"285038313419,82";"279005745751,38";
"I";"Importación";"2006";"";"000";"Total País";"Total Taric";"262687189491,38";"270901959315,94";
"I";"Importación";"2005";"";"000";"Total País";"Total Taric";"232954465764,67";"274701158366,71";
"I";"Importación";"2004";"";"000";"Total País";"Total Taric";"208410703586,49";"257735185518,50";
"I";"Importación";"2003";"";"000";"Total País";"Total Taric";"185113677048,41";"242828407196,22";
"I";"Importación";"2002";"";"000";"Total País";"Total Taric";"175267866173,18";"240929605448,81";
"I";"Importación";"2001";"";"000";"Total País";"Total Taric";"173210117182,79";"224004072687,13";
"I";"Importación";"2000";"";"000";"Total País";"Total Taric";"169468101393,78";"221967694478,56";
"I";"Importación";"1999";"";"000";"Total País";"Total Taric";"139093706089,08";"209324395662,99";
"I";"Importación";"1998";"";"000";"Total País";"Total Taric";"122856109630,13";"194645992121,68";
"I";"Importación";"1997";"";"000";"Total País";"Total Taric";"109468692162,86";"173188640274,13";
"I";"Importación";"1996";"";"000";"Total País";"Total Taric";"94179479717,84";"163791014988,19";
"I";"Importación";"1995";"";"000";"Total País";"Total Taric";"87142299550,3";"165306707153,10";
