"flujo_codigo";"flujo_nombre";"periodo_anio";"periodo_mes";"pais_codigo";"pais_nombre";"taric";"euros";"kilos";
"I";"Importación";"2016";"";"660";"Afganistán";"25";"13908,87";"42999";
"I";"Importación";"2016";"";"660";"Afganistán";"29";"104887,45";"16709,3";
"I";"Importación";"2016";"";"660";"Afganistán";"30";"157629,35";"1383,15";
"I";"Importación";"2016";"";"660";"Afganistán";"32";"1,34";"2";
"I";"Importación";"2016";"";"660";"Afganistán";"33";"32,47";"1,44";
"I";"Importación";"2016";"";"660";"Afganistán";"34";"1851";"99,36";
"I";"Importación";"2016";"";"660";"Afganistán";"39";"1164,46";"150";
"I";"Importación";"2016";"";"660";"Afganistán";"42";"6386,52";"381";
"I";"Importación";"2016";"";"660";"Afganistán";"48";"6005,92";"31356";
"I";"Importación";"2016";"";"660";"Afganistán";"49";"1004,34";"84";
"I";"Importación";"2016";"";"660";"Afganistán";"54";"24207,38";"14582,76";
"I";"Importación";"2016";"";"660";"Afganistán";"56";"131,37";"1,98";
"I";"Importación";"2016";"";"660";"Afganistán";"57";"63319,57";"1050";
"I";"Importación";"2016";"";"660";"Afganistán";"61";"10510";"424,6";
"I";"Importación";"2016";"";"660";"Afganistán";"62";"9,59";"1";
"I";"Importación";"2016";"";"660";"Afganistán";"63";"3973,09";"127";
"I";"Importación";"2016";"";"660";"Afganistán";"64";"5724,14";"88,68";
"I";"Importación";"2016";"";"660";"Afganistán";"72";"54260,04";"57004";
"I";"Importación";"2016";"";"660";"Afganistán";"76";"6833,9";"500";
"I";"Importación";"2016";"";"660";"Afganistán";"82";"9450";"50";
"I";"Importación";"2016";"";"660";"Afganistán";"84";"132078,93";"3646";
"I";"Importación";"2016";"";"660";"Afganistán";"85";"4218,2";"144";
"I";"Importación";"2016";"";"660";"Afganistán";"90";"256,48";"0,27";
"I";"Importación";"2016";"";"660";"Afganistán";"97";"161,36";"9";
"I";"Importación";"2016";"";"660";"Afganistán";"99";"11907,94";"1056,5";
"I";"Importación";"2016";"";"070";"Albania";"03";"3629184,26";"643551,67";
"I";"Importación";"2016";"";"070";"Albania";"07";"12611,6";"21125,4";
"I";"Importación";"2016";"";"070";"Albania";"08";"34746,67";"6355";
"I";"Importación";"2016";"";"070";"Albania";"09";"46593,48";"30020,21";
"I";"Importación";"2016";"";"070";"Albania";"12";"398157,49";"219934";
"I";"Importación";"2016";"";"070";"Albania";"15";"3181,08";"3479";
"I";"Importación";"2016";"";"070";"Albania";"16";"274569,73";"171725,6";
"I";"Importación";"2016";"";"070";"Albania";"19";"251,74";"22,5";
"I";"Importación";"2016";"";"070";"Albania";"27";"49253695,04";"300347030";
"I";"Importación";"2016";"";"070";"Albania";"28";"642";"5";
"I";"Importación";"2016";"";"070";"Albania";"30";"101,5";"1";
"I";"Importación";"2016";"";"070";"Albania";"33";"102844,52";"1371";
"I";"Importación";"2016";"";"070";"Albania";"37";"333,91";"5";
"I";"Importación";"2016";"";"070";"Albania";"38";"1324,58";"51,17";
"I";"Importación";"2016";"";"070";"Albania";"39";"7211,45";"5319";
"I";"Importación";"2016";"";"070";"Albania";"42";"88356,61";"263,68";
"I";"Importación";"2016";"";"070";"Albania";"43";"848,95";"10";
"I";"Importación";"2016";"";"070";"Albania";"44";"42225,91";"3047";
"I";"Importación";"2016";"";"070";"Albania";"48";"51602,93";"4818";
"I";"Importación";"2016";"";"070";"Albania";"49";"3029,71";"238";
"I";"Importación";"2016";"";"070";"Albania";"54";"58,8";"5";
"I";"Importación";"2016";"";"070";"Albania";"55";"8593";"244";
"I";"Importación";"2016";"";"070";"Albania";"59";"552,92";"33";
"I";"Importación";"2016";"";"070";"Albania";"61";"3794374,58";"135392,74";
"I";"Importación";"2016";"";"070";"Albania";"62";"97903,59";"1599,99";
"I";"Importación";"2016";"";"070";"Albania";"63";"113440,82";"51626";
"I";"Importación";"2016";"";"070";"Albania";"64";"18906369,96";"966219,82";
"I";"Importación";"2016";"";"070";"Albania";"65";"165923,99";"3543,97";
"I";"Importación";"2016";"";"070";"Albania";"69";"144,3";"92";
"I";"Importación";"2016";"";"070";"Albania";"70";"37004,55";"24986";
"I";"Importación";"2016";"";"070";"Albania";"71";"244";"2";
"I";"Importación";"2016";"";"070";"Albania";"72";"2750480,35";"2680301";
"I";"Importación";"2016";"";"070";"Albania";"73";"520003,04";"473019,4";
"I";"Importación";"2016";"";"070";"Albania";"82";"165,16";"101";
"I";"Importación";"2016";"";"070";"Albania";"83";"4229,11";"1393";
"I";"Importación";"2016";"";"070";"Albania";"84";"50396,5";"4238,33";
"I";"Importación";"2016";"";"070";"Albania";"85";"267451,87";"33457,66";
"I";"Importación";"2016";"";"070";"Albania";"87";"12522,2";"3613";
"I";"Importación";"2016";"";"070";"Albania";"90";"3684,8";"123,75";
"I";"Importación";"2016";"";"070";"Albania";"91";"30052,28";"4,5";
"I";"Importación";"2016";"";"070";"Albania";"92";"171,43";"150";
"I";"Importación";"2016";"";"070";"Albania";"94";"23570,59";"2090";
"I";"Importación";"2016";"";"070";"Albania";"96";"22452,47";"11399";
"I";"Importación";"2016";"";"070";"Albania";"99";"955,48";"76,18";
"I";"Importación";"2016";"";"004";"Alemania";"01";"26218814,94";"7859327,77";
"I";"Importación";"2016";"";"004";"Alemania";"02";"170343529,41";"51428384,34";
"I";"Importación";"2016";"";"004";"Alemania";"03";"59276109,7";"10711708,83";
"I";"Importación";"2016";"";"004";"Alemania";"04";"300971324,43";"141532299,31";
"I";"Importación";"2016";"";"004";"Alemania";"05";"21893035,22";"6492775,59";
"I";"Importación";"2016";"";"004";"Alemania";"06";"7148201,37";"2627052,46";
"I";"Importación";"2016";"";"004";"Alemania";"07";"18568310,63";"21004534,13";
"I";"Importación";"2016";"";"004";"Alemania";"08";"48664516,11";"14876496,01";
"I";"Importación";"2016";"";"004";"Alemania";"09";"120059368,45";"45269666,09";
"I";"Importación";"2016";"";"004";"Alemania";"10";"42824151,82";"213034654,79";
"I";"Importación";"2016";"";"004";"Alemania";"11";"42848121,16";"116615571,98";
"I";"Importación";"2016";"";"004";"Alemania";"12";"27287095,15";"33319760,23";
"I";"Importación";"2016";"";"004";"Alemania";"13";"25777185,32";"3620408,43";
"I";"Importación";"2016";"";"004";"Alemania";"14";"132109,28";"267739,12";
"I";"Importación";"2016";"";"004";"Alemania";"15";"42222665,8";"48487778,52";
"I";"Importación";"2016";"";"004";"Alemania";"16";"65758790,18";"20727937,60";
"I";"Importación";"2016";"";"004";"Alemania";"17";"52325540,42";"49248202,10";
"I";"Importación";"2016";"";"004";"Alemania";"18";"148778355,36";"43555656,51";
"I";"Importación";"2016";"";"004";"Alemania";"19";"256962958,21";"121048847,52";
"I";"Importación";"2016";"";"004";"Alemania";"20";"96500297,3";"60387175,78";
"I";"Importación";"2016";"";"004";"Alemania";"21";"194365187,53";"64462981,14";
"I";"Importación";"2016";"";"004";"Alemania";"22";"167734212,58";"127062435,18";
"I";"Importación";"2016";"";"004";"Alemania";"23";"84967165,34";"170208938,04";
"I";"Importación";"2016";"";"004";"Alemania";"24";"664447016,59";"30666343,76";
"I";"Importación";"2016";"";"004";"Alemania";"25";"23782898,92";"50628230,92";
"I";"Importación";"2016";"";"004";"Alemania";"26";"11735783,35";"9415431,49";
"I";"Importación";"2016";"";"004";"Alemania";"27";"95270290,78";"215104267,08";
"I";"Importación";"2016";"";"004";"Alemania";"28";"203800582,39";"338879000,84";
"I";"Importación";"2016";"";"004";"Alemania";"29";"1032915382,9";"479928782,18";
"I";"Importación";"2016";"";"004";"Alemania";"30";"2001102226,63";"32152211,08";
"I";"Importación";"2016";"";"004";"Alemania";"31";"42090326";"123710494,38";
"I";"Importación";"2016";"";"004";"Alemania";"32";"492352017,22";"101994935,43";
"I";"Importación";"2016";"";"004";"Alemania";"33";"416697625,04";"67447475,69";
"I";"Importación";"2016";"";"004";"Alemania";"34";"229508014,49";"106761920,10";
"I";"Importación";"2016";"";"004";"Alemania";"35";"112636170,15";"42560381,10";
"I";"Importación";"2016";"";"004";"Alemania";"36";"4815322,41";"2350512,39";
"I";"Importación";"2016";"";"004";"Alemania";"37";"50169831,21";"6761034,42";
"I";"Importación";"2016";"";"004";"Alemania";"38";"821062940,06";"260309401,84";
"I";"Importación";"2016";"";"004";"Alemania";"39";"1795706097,77";"816974695,93";
"I";"Importación";"2016";"";"004";"Alemania";"40";"519142080,4";"160758778,92";
"I";"Importación";"2016";"";"004";"Alemania";"41";"11087135,59";"3978348,80";
"I";"Importación";"2016";"";"004";"Alemania";"42";"49916938,19";"3261147,29";
"I";"Importación";"2016";"";"004";"Alemania";"43";"140197,36";"3444,67";
"I";"Importación";"2016";"";"004";"Alemania";"44";"112427569,6";"151885645,27";
"I";"Importación";"2016";"";"004";"Alemania";"45";"417689,86";"210366,88";
"I";"Importación";"2016";"";"004";"Alemania";"46";"716602,03";"68543,93";
"I";"Importación";"2016";"";"004";"Alemania";"47";"12192376,69";"23174969,87";
"I";"Importación";"2016";"";"004";"Alemania";"48";"516492335,53";"476826352,58";
"I";"Importación";"2016";"";"004";"Alemania";"49";"98148087,52";"14464676,62";
"I";"Importación";"2016";"";"004";"Alemania";"50";"665726,79";"80962,70";
"I";"Importación";"2016";"";"004";"Alemania";"51";"2347598,81";"194066,20";
"I";"Importación";"2016";"";"004";"Alemania";"52";"11712021,27";"2522340,23";
"I";"Importación";"2016";"";"004";"Alemania";"53";"430652,89";"66920,89";
"I";"Importación";"2016";"";"004";"Alemania";"54";"57452763,13";"11655363,55";
"I";"Importación";"2016";"";"004";"Alemania";"55";"60557666,46";"20825609,68";
"I";"Importación";"2016";"";"004";"Alemania";"56";"62599062,95";"14102693,62";
"I";"Importación";"2016";"";"004";"Alemania";"57";"4950252,94";"668476,87";
"I";"Importación";"2016";"";"004";"Alemania";"58";"9880532,99";"1437593,97";
"I";"Importación";"2016";"";"004";"Alemania";"59";"56970942,87";"6846514,49";
"I";"Importación";"2016";"";"004";"Alemania";"60";"8784389,23";"630006,95";
"I";"Importación";"2016";"";"004";"Alemania";"61";"123524745,99";"7164207,72";
"I";"Importación";"2016";"";"004";"Alemania";"62";"134595265,56";"5968267,38";
"I";"Importación";"2016";"";"004";"Alemania";"63";"28303086,31";"7942904,52";
"I";"Importación";"2016";"";"004";"Alemania";"64";"100011026,22";"4509643,70";
"I";"Importación";"2016";"";"004";"Alemania";"65";"9169477,96";"341350,66";
"I";"Importación";"2016";"";"004";"Alemania";"66";"1857193,11";"439086,45";
"I";"Importación";"2016";"";"004";"Alemania";"67";"748352,51";"40651,51";
"I";"Importación";"2016";"";"004";"Alemania";"68";"110168387,87";"28896899,56";
"I";"Importación";"2016";"";"004";"Alemania";"69";"41110155,81";"21983264,75";
"I";"Importación";"2016";"";"004";"Alemania";"70";"206198693,19";"108485720,44";
"I";"Importación";"2016";"";"004";"Alemania";"71";"102477322,44";"2117222,03";
"I";"Importación";"2016";"";"004";"Alemania";"72";"777500089,33";"1118259001,33";
"I";"Importación";"2016";"";"004";"Alemania";"73";"701147221,36";"214736297,88";
"I";"Importación";"2016";"";"004";"Alemania";"74";"207701535,35";"48571000,69";
"I";"Importación";"2016";"";"004";"Alemania";"75";"17556702,07";"1272965,38";
"I";"Importación";"2016";"";"004";"Alemania";"76";"307821452,25";"95420411,86";
"I";"Importación";"2016";"";"004";"Alemania";"78";"3066528,01";"1604813,74";
"I";"Importación";"2016";"";"004";"Alemania";"79";"7032259,75";"1688949,62";
"I";"Importación";"2016";"";"004";"Alemania";"80";"6478707,82";"1652352,72";
"I";"Importación";"2016";"";"004";"Alemania";"81";"28967055,21";"3115847,74";
"I";"Importación";"2016";"";"004";"Alemania";"82";"211113901,26";"15486023,36";
"I";"Importación";"2016";"";"004";"Alemania";"83";"265254269,76";"51761369,82";
"I";"Importación";"2016";"";"004";"Alemania";"84";"6131889151,44";"421215818,53";
"I";"Importación";"2016";"";"004";"Alemania";"85";"2705474269,21";"225842426,51";
"I";"Importación";"2016";"";"004";"Alemania";"86";"71048351,28";"5523227,37";
"I";"Importación";"2016";"";"004";"Alemania";"87";"10140599110,15";"1047294321,40";
"I";"Importación";"2016";"";"004";"Alemania";"88";"212178036,68";"972168,95";
"I";"Importación";"2016";"";"004";"Alemania";"89";"14081580,91";"536465,66";
"I";"Importación";"2016";"";"004";"Alemania";"90";"1644442899,99";"28518550,18";
"I";"Importación";"2016";"";"004";"Alemania";"91";"32011419,63";"304958,44";
"I";"Importación";"2016";"";"004";"Alemania";"92";"35824486,49";"935930,18";
"I";"Importación";"2016";"";"004";"Alemania";"93";"10158546,81";"459302,76";
"I";"Importación";"2016";"";"004";"Alemania";"94";"387908843,47";"76442697,99";
"I";"Importación";"2016";"";"004";"Alemania";"95";"200330059,98";"20671680,72";
"I";"Importación";"2016";"";"004";"Alemania";"96";"97632838,94";"16611119,69";
